AirCode,AirName,City,State,fare14,fuel14,fare15,fuel15,fare16,fuel16,fare17,fuel17,fare18,fuel18,fare19,fuel19,fare20,fuel20,fare21,fuel21
LAX,Los Angeles International,Los Angeles,CA,542.84,2.788083333,511.08,1.626916667,450.63,1.315333333,437.03,1.633583333,426.94,2.115166667,423.82,1.969416667,342.37,1.217833333,361.34,1.925
ORD,Chicago O'Hare International,Chicago-O'Hare,IL,533.68,2.788083333,460.52,1.626916667,402.61,1.315333333,393.17,1.633583333,409.7,2.115166667,409.95,1.969416667,325.14,1.217833333,319.54,1.925
DEN,Denver International,Denver,CO,432.24,2.788083333,418.8,1.626916667,394.98,1.315333333,370.64,1.633583333,366.14,2.115166667,357.17,1.969416667,296.93,1.217833333,304.33,1.925
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,545.49,2.788083333,500.33,1.626916667,444.37,1.315333333,435.03,1.633583333,436.69,2.115166667,440.37,1.969416667,351.35,1.217833333,340.63,1.925
EWR,Newark Liberty International,Newark,NJ,631.83,2.788083333,605.34,1.626916667,544.13,1.315333333,497.38,1.633583333,488.6,2.115166667,484.02,1.969416667,359.22,1.217833333,352.11,1.925
BOS,Logan International,Boston,MA,490.3,2.788083333,484.31,1.626916667,442.32,1.315333333,416.52,1.633583333,397.19,2.115166667,401.44,1.969416667,341.14,1.217833333,369.46,1.925
SEA,Seattle/Tacoma International,Seattle,WA,487.04,2.788083333,470.54,1.626916667,420.87,1.315333333,415.86,1.633583333,408.2,2.115166667,399.99,1.969416667,337.03,1.217833333,346.32,1.925
MCO,Orlando International,Orlando,FL,401.01,2.788083333,373.3,1.626916667,321.44,1.315333333,309.1,1.633583333,302.23,2.115166667,299.24,1.969416667,253.32,1.217833333,246.89,1.925
DFW,Dallas/Fort Worth International,Dallas-DFW,TX,545.86,2.788083333,491.37,1.626916667,441.88,1.315333333,449.76,1.633583333,464.02,2.115166667,478.51,1.969416667,380.14,1.217833333,358.49,1.925
PHX,Phoenix Sky Harbor International,Phoenix,AZ,461.24,2.788083333,447.68,1.626916667,414.21,1.315333333,405.55,1.633583333,409.73,2.115166667,414.56,1.969416667,329.81,1.217833333,327.73,1.925
SFO,San Francisco International,San Francisco,CA,560.01,2.788083333,547.56,1.626916667,501.07,1.315333333,477.29,1.633583333,459.17,2.115166667,472.08,1.969416667,397.19,1.217833333,435.55,1.925
JFK,John F. Kennedy International,New York-JFK,NY,554.89,2.788083333,551.98,1.626916667,501.54,1.315333333,487.91,1.633583333,472.21,2.115166667,478.2,1.969416667,404.32,1.217833333,379.98,1.925
LAS,Harry Reid International,Las Vegas,NV,341.5,2.788083333,318.58,1.626916667,288.07,1.315333333,296.31,1.633583333,290.87,2.115166667,288.9,1.969416667,246.72,1.217833333,258.96,1.925
LGA,LaGuardia,New York-La Guardia,NY,508.11,2.788083333,473.72,1.626916667,416.82,1.315333333,392.47,1.633583333,398.34,2.115166667,397.46,1.969416667,328.66,1.217833333,318.08,1.925
MSP,Minneapolis-St Paul International,Minneapolis,MN,558.44,2.788083333,550.22,1.626916667,489.22,1.315333333,460.27,1.633583333,450.43,2.115166667,436.34,1.969416667,369.17,1.217833333,342.86,1.925
PHL,Philadelphia International,Philadelphia,PA,552.06,2.788083333,511.66,1.626916667,463.63,1.315333333,472.49,1.633583333,458.97,2.115166667,440.57,1.969416667,344.2,1.217833333,344.94,1.925
IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,632.3,2.788083333,570.72,1.626916667,546.21,1.315333333,507.15,1.633583333,500.6,2.115166667,483.65,1.969416667,381.02,1.217833333,364.02,1.925
SAN,San Diego International,San Diego,CA,482.14,2.788083333,469.04,1.626916667,447.29,1.315333333,418.84,1.633583333,395.32,2.115166667,389.4,1.969416667,332.24,1.217833333,368.98,1.925
DTW,Detroit Metro Wayne County,Detroit,MI,551.87,2.788083333,533.65,1.626916667,476.74,1.315333333,458.06,1.633583333,451.84,2.115166667,449.34,1.969416667,368.42,1.217833333,365.68,1.925
FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,380.55,2.788083333,345.46,1.626916667,306.11,1.315333333,293.09,1.633583333,296.92,2.115166667,306.21,1.969416667,251.66,1.217833333,239.97,1.925
DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,501.37,2.788083333,460.1,1.626916667,428.35,1.315333333,421.33,1.633583333,432.54,2.115166667,442.41,1.969416667,370.72,1.217833333,362.95,1.925
TPA,Tampa International,Tampa,FL,432.38,2.788083333,409.66,1.626916667,395.3,1.315333333,384.97,1.633583333,373.79,2.115166667,366.67,1.969416667,304.03,1.217833333,289.32,1.925
MIA,Miami International,Miami,FL,524.74,2.788083333,461.27,1.626916667,383.95,1.315333333,378.61,1.633583333,386.67,2.115166667,398.6,1.969416667,312.11,1.217833333,280.1,1.925
AUS,Austin - Bergstrom International,Austin,TX,505.17,2.788083333,476.93,1.626916667,471.57,1.315333333,439.04,1.633583333,413.28,2.115166667,403.57,1.969416667,335.38,1.217833333,334.01,1.925
BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,437.55,2.788083333,424.54,1.626916667,401.83,1.315333333,388.36,1.633583333,385.36,2.115166667,385.88,1.969416667,314.06,1.217833333,327.82,1.925
PDX,Portland International,Portland,OR,468.59,2.788083333,461.19,1.626916667,410.29,1.315333333,399.08,1.633583333,398.26,2.115166667,402.25,1.969416667,339.34,1.217833333,379.08,1.925
SLC,Salt Lake City International,Salt Lake City,UT,526.98,2.788083333,499.3,1.626916667,465.9,1.315333333,436.06,1.633583333,435,2.115166667,447.23,1.969416667,386.96,1.217833333,373.05,1.925
BNA,Nashville International,Nashville,TN,494.48,2.788083333,493.73,1.626916667,451.95,1.315333333,443.59,1.633583333,423.61,2.115166667,399.69,1.969416667,318.24,1.217833333,314.75,1.925
CLT,Charlotte Douglas International,Charlotte,NC,559.35,2.788083333,570.86,1.626916667,526.6,1.315333333,512.48,1.633583333,515.26,2.115166667,489.57,1.969416667,393.65,1.217833333,379.46,1.925
SMF,Sacramento International,Sacramento,CA,485.81,2.788083333,477.25,1.626916667,458.36,1.315333333,436.65,1.633583333,410.69,2.115166667,398,1.969416667,332.05,1.217833333,362.77,1.925
RDU,Raleigh-Durham International,Raleigh/Durham,NC,495.04,2.788083333,486.35,1.626916667,449.31,1.315333333,439.22,1.633583333,416.5,2.115166667,391.77,1.969416667,339.11,1.217833333,335.76,1.925
MDW,Chicago Midway International,Chicago-Midway,IL,427.2,2.788083333,393.39,1.626916667,354.28,1.315333333,347.03,1.633583333,369.86,2.115166667,369.32,1.969416667,275.5,1.217833333,278.69,1.925
HNL,Daniel K Inouye International,Honolulu,HI,479.79,2.788083333,494.03,1.626916667,491.59,1.315333333,457.09,1.633583333,453.05,2.115166667,408.76,1.969416667,347.91,1.217833333,368.52,1.925
STL,St Louis Lambert International,St. Louis,MO,492.86,2.788083333,480.97,1.626916667,459.22,1.315333333,452.79,1.633583333,439.87,2.115166667,436.38,1.969416667,353.62,1.217833333,345.84,1.925
SJC,Norman Y. Mineta San Jose International,San Jose,CA,438.13,2.788083333,437.22,1.626916667,408.55,1.315333333,380.74,1.633583333,361.81,2.115166667,351.73,1.969416667,301.41,1.217833333,342.21,1.925
OAK,Metro Oakland International,Oakland,CA,394.32,2.788083333,397.59,1.626916667,384.84,1.315333333,363.56,1.633583333,348.1,2.115166667,351.73,1.969416667,293.56,1.217833333,304.71,1.925
DAL,Dallas Love Field,Dallas-Love Field,TX,382.27,2.788083333,360.41,1.626916667,351.54,1.315333333,358.53,1.633583333,367.07,2.115166667,379.99,1.969416667,304.66,1.217833333,293.68,1.925
SNA,John Wayne Airport-Orange County,Santa Ana,CA,491.94,2.788083333,481.81,1.626916667,452.84,1.315333333,438.67,1.633583333,450.52,2.115166667,457.23,1.969416667,381.92,1.217833333,353.58,1.925
MCI,Kansas City International,Kansas City,MO,487.11,2.788083333,475.65,1.626916667,448.64,1.315333333,433.31,1.633583333,421.52,2.115166667,433.85,1.969416667,362.6,1.217833333,364.89,1.925
MSY,Louis Armstrong New Orleans International,New Orleans,LA,465.31,2.788083333,431.8,1.626916667,401.03,1.315333333,372.79,1.633583333,365.06,2.115166667,351.15,1.969416667,297.89,1.217833333,301.7,1.925
CLE,Cleveland-Hopkins International,Cleveland,OH,570.84,2.788083333,462.79,1.626916667,426.42,1.315333333,393.27,1.633583333,387.01,2.115166667,375.82,1.969416667,301.29,1.217833333,311.42,1.925
IAD,Washington Dulles International,Washington-Dulles,DC,626.58,2.788083333,583.53,1.626916667,561.45,1.315333333,526.64,1.633583333,517.19,2.115166667,542.09,1.969416667,445.23,1.217833333,446.23,1.925
IND,Indianapolis International,Indianapolis,IN,530.01,2.788083333,488.62,1.626916667,444.28,1.315333333,434.76,1.633583333,418.9,2.115166667,428.74,1.969416667,336.45,1.217833333,346.34,1.925
SJU,Luis Munoz Marin International,San Juan,PR,395.43,2.788083333,423.2,1.626916667,361.18,1.315333333,360.09,1.633583333,332.64,2.115166667,334.4,1.969416667,243.92,1.217833333,265.48,1.925
SAT,San Antonio International,San Antonio,TX,517.36,2.788083333,512.19,1.626916667,488.41,1.315333333,464.21,1.633583333,431.32,2.115166667,426.56,1.969416667,366.24,1.217833333,369.9,1.925
PIT,Pittsburgh International,Pittsburgh,PA,519.48,2.788083333,500.32,1.626916667,474.67,1.315333333,443.03,1.633583333,423.47,2.115166667,423.01,1.969416667,343.82,1.217833333,350.27,1.925
CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,658.89,2.788083333,557.21,1.626916667,484.48,1.315333333,416.2,1.633583333,388.2,2.115166667,389.47,1.969416667,312.38,1.217833333,320.95,1.925
CMH,John Glenn Columbus International,Columbus,OH,530.55,2.788083333,512.85,1.626916667,467.07,1.315333333,454.02,1.633583333,432.99,2.115166667,427.2,1.969416667,352.34,1.217833333,353.23,1.925
