Month,U.S. Kerosene-Type Jet Fuel Retail Sales by Refiners Dollars per Gallon
Mar-22,3.326
Feb-22,2.653
Jan-22,2.451
Dec-21,2.168
Nov-21,2.309
Oct-21,2.303
Sep-21,2.032
Aug-21,1.965
Jul-21,1.981
Jun-21,1.906
May-21,1.822
Apr-21,1.724
Mar-21,1.763
Feb-21,1.642
Jan-21,1.485
Dec-20,1.395
Nov-20,1.216
Oct-20,1.134
Sep-20,1.11
Aug-20,1.188
Jul-20,1.175
Jun-20,1.046
May-20,0.728
Apr-20,0.74
Mar-20,1.257
Feb-20,1.667
Jan-20,1.958
Dec-19,1.979
Nov-19,1.979
Oct-19,1.965
Sep-19,1.937
Aug-19,1.901
Jul-19,1.973
Jun-19,1.907
May-19,2.141
Apr-19,2.063
Mar-19,2.005
Feb-19,1.956
Jan-19,1.827
Dec-18,1.852
Nov-18,2.162
Oct-18,2.349
Sep-18,2.257
Aug-18,2.183
Jul-18,2.176
Jun-18,2.196
May-18,2.221
Apr-18,2.08
Mar-18,1.924
Feb-18,1.97
Jan-18,2.012
Dec-17,1.869
Nov-17,1.831
Oct-17,1.743
Sep-17,1.795
Aug-17,1.613
Jul-17,1.478
Jun-17,1.434
May-17,1.492
Apr-17,1.595
Mar-17,1.554
Feb-17,1.615
Jan-17,1.584
Dec-16,1.539
Nov-16,1.426
Oct-16,1.506
Sep-16,1.394
Aug-16,1.33
Jul-16,1.393
Jun-16,1.464
May-16,1.342
Apr-16,1.187
Mar-16,1.133
Feb-16,1.032
Jan-16,1.038
Dec-15,1.232
Nov-15,1.424
Oct-15,1.473
Sep-15,1.465
Aug-15,1.516
Jul-15,1.694
Jun-15,1.855
May-15,1.979
Apr-15,1.739
Mar-15,1.766
Feb-15,1.747
Jan-15,1.633
Dec-14,2.028
Nov-14,2.433
Oct-14,2.576
Sep-14,2.834
Aug-14,2.916
Jul-14,2.906
Jun-14,2.945
May-14,2.965
Apr-14,2.931
Mar-14,2.942
Feb-14,2.994
Jan-14,2.987
Dec-13,3.008
Nov-13,2.883
Oct-13,2.931
Sep-13,3.04
Aug-13,3.002
Jul-13,2.908
Jun-13,2.813
May-13,2.787
Apr-13,2.922
Mar-13,3.07
Feb-13,3.294
Jan-13,3.117
Dec-12,3.008
Nov-12,3.045
Oct-12,3.211
Sep-12,3.283
Aug-12,3.123
Jul-12,2.856
Jun-12,2.768
May-12,3.1
Apr-12,3.283
Mar-12,3.337
Feb-12,3.206
Jan-12,3.087
Dec-11,2.963
Nov-11,3.124
Oct-11,2.987
Sep-11,3.059
Aug-11,3.057
Jul-11,3.118
Jun-11,3.138
May-11,3.22
Apr-11,3.306
Mar-11,3.161
Feb-11,2.818
Jan-11,2.623
Dec-10,2.484
Nov-10,2.374
Oct-10,2.298
Sep-10,2.148
Aug-10,2.158
Jul-10,2.103
Jun-10,2.105
May-10,2.199
Apr-10,2.272
Mar-10,2.144
Feb-10,2.018
Jan-10,2.129
Dec-09,2.016
Nov-09,2.064
Oct-09,1.93
Sep-09,1.834
Aug-09,1.922
Jul-09,1.774
Jun-09,1.818
May-09,1.486
Apr-09,1.458
Mar-09,1.281
Feb-09,1.36
Jan-09,1.483
Dec-08,1.518
Nov-08,1.988
Oct-08,2.603
Sep-08,3.266
Aug-08,3.425
Jul-08,4.008
Jun-08,3.933
May-08,3.661
Apr-08,3.334
Mar-08,3.12
Feb-08,2.693
Jan-08,2.685
Dec-07,2.685
Nov-07,2.684
Oct-07,2.377
Sep-07,2.25
Aug-07,2.16
Jul-07,2.185
Jun-07,2.132
May-07,2.105
Apr-07,2.039
Mar-07,1.872
Feb-07,1.79
Jan-07,1.758
Dec-06,1.935
Nov-06,1.799
Oct-06,1.832
Sep-06,1.998
Aug-06,2.229
Jul-06,2.178
Jun-06,2.159
May-06,2.156
Apr-06,2.048
Mar-06,1.875
Feb-06,1.855
Jan-06,1.842
Dec-05,1.761
Nov-05,1.853
Oct-05,2.352
Sep-05,2.103
Aug-05,1.853
Jul-05,1.724
Jun-05,1.651
May-05,1.573
Apr-05,1.676
Mar-05,1.585
Feb-05,1.375
Jan-05,1.313
Dec-04,1.335
Nov-04,1.466
Oct-04,1.551
Sep-04,1.334
Aug-04,1.272
Jul-04,1.169
Jun-04,1.103
May-04,1.169
Apr-04,1.066
Mar-04,1.027
Feb-04,1.013
Jan-04,0.999
Dec-03,0.929
Nov-03,0.878
Oct-03,0.845
Sep-03,0.817
Aug-03,0.872
Jul-03,0.817
Jun-03,0.766
May-03,0.759
Apr-03,0.821
Mar-03,1.043
Feb-03,1.018
Jan-03,0.914
Dec-02,0.811
Nov-02,0.767
Oct-02,0.847
Sep-02,0.828
Aug-02,0.753
Jul-02,0.722
Jun-02,0.688
May-02,0.709
Apr-02,0.701
Mar-02,0.644
Feb-02,0.585
Jan-02,0.582
Dec-01,0.556
Nov-01,0.625
Oct-01,0.675
Sep-01,0.824
Aug-01,0.778
Jul-01,0.768
Jun-01,0.836
May-01,0.84
Apr-01,0.802
Mar-01,0.811
Feb-01,0.87
Jan-01,0.883
Dec-00,0.997
Nov-00,1.066
Oct-00,1.045
Sep-00,1.061
Aug-00,0.888
Jul-00,0.84
Jun-00,0.802
May-00,0.789
Apr-00,0.781
Mar-00,0.85
Feb-00,0.828
Jan-00,0.807
Dec-99,0.733
Nov-99,0.682
Oct-99,0.649
Sep-99,0.642
Aug-99,0.598
Jul-99,0.549
Jun-99,0.506
May-99,0.472
Apr-99,0.487
Mar-99,0.396
Feb-99,0.365
Jan-99,0.38
Dec-98,0.374
Nov-98,0.44
Oct-98,0.469
Sep-98,0.449
Aug-98,0.436
Jul-98,0.434
Jun-98,0.428
May-98,0.467
Apr-98,0.466
Mar-98,0.453
Feb-98,0.5
Jan-98,0.523
Dec-97,0.563
Nov-97,0.612
Oct-97,0.615
Sep-97,0.582
Aug-97,0.591
Jul-97,0.567
Jun-97,0.576
May-97,0.589
Apr-97,0.602
Mar-97,0.619
Feb-97,0.717
Jan-97,0.744
Dec-96,0.74
Nov-96,0.717
Oct-96,0.736
Sep-96,0.718
Aug-96,0.651
Jul-96,0.603
Jun-96,0.577
May-96,0.633
Apr-96,0.66
Mar-96,0.59
Feb-96,0.569
Jan-96,0.613
